Khoang_cach_TT_km,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Tuoi_nha_nam,O_to_vao,Co_Gara,Co_San_thuong,Gan_nghia_trang_bai_rac,Co_bi_ngap,Gia_ban_ty,Quan_Huyen_Ba Vì,Quan_Huyen_Ba Đình,Quan_Huyen_Bắc Từ Liêm,Quan_Huyen_Chương Mỹ,Quan_Huyen_Cầu Giấy,Quan_Huyen_Gia Lâm,Quan_Huyen_Hai Bà Trưng,Quan_Huyen_Hoài Đức,Quan_Huyen_Hoàn Kiếm,Quan_Huyen_Hoàng Mai,Quan_Huyen_Hà Đông,Quan_Huyen_Long Biên,Quan_Huyen_Mê Linh,Quan_Huyen_Mỹ Đức,Quan_Huyen_Nam Từ Liêm,Quan_Huyen_Phú Xuyên,Quan_Huyen_Phúc Thọ,Quan_Huyen_Quốc Oai,Quan_Huyen_Sóc Sơn,Quan_Huyen_Sơn Tây,Quan_Huyen_Thanh Oai,Quan_Huyen_Thanh Trì,Quan_Huyen_Thanh Xuân,Quan_Huyen_Thường Tín,Quan_Huyen_Thạch Thất,Quan_Huyen_Tây Hồ,Quan_Huyen_Đan Phượng,Quan_Huyen_Đông Anh,Quan_Huyen_Đống Đa,Quan_Huyen_Ứng Hòa,Dac_diem_khu_vuc_Gan KCN,Dac_diem_khu_vuc_Gan lang nghe,Dac_diem_khu_vuc_Khu dan cu,Dac_diem_khu_vuc_Khu dan cu dong duc,Dac_diem_khu_vuc_Khu dau gia,Dac_diem_khu_vuc_Mat duong Quoc lo,Dac_diem_khu_vuc_Trong lang xom,Loai_dat_Full tho cu,Loai_dat_Tho cu + Dat vuon,Loai_duong_Duong be tong,Loai_duong_Duong dat,Loai_duong_Duong nhua,Huong_nha_Bắc,Huong_nha_Nam,Huong_nha_Tây,Huong_nha_Tây Bắc,Huong_nha_Tây Nam,Huong_nha_Đông,Huong_nha_Đông Bắc,Huong_nha_Đông Nam,Phap_ly_Chờ sổ,Phap_ly_Hợp đồng mua bán,Phap_ly_Sổ đỏ/Sổ hồng,Phap_ly_Vi bằng,Mat_do_dan_cu_Cao,Mat_do_dan_cu_Thap,Mat_do_dan_cu_Trung binh,An_ninh_Bình thường,An_ninh_Kém (Hay trộm cắp),An_ninh_Rất tốt (Khu VIP),An_ninh_Tốt,Gan_Tien_ich_Gần Bệnh viện,Gan_Tien_ich_Gần Công viên/Hồ,Gan_Tien_ich_Gần trường học/Chợ,Gan_Tien_ich_Không gần gì,Gan_Giao_thong_Gần Bến xe Bus,Gan_Giao_thong_Gần Metro (Tàu điện),Gan_Giao_thong_Xa phương tiện CC,Noi_that_Cơ bản,Noi_that_Full nội thất cao cấp,Noi_that_Nhà trống,Noi_that_Nội thất cũ nát,Tinh_trang_Dien_Nuoc_Can sua chua,Tinh_trang_Dien_Nuoc_Hay hong,Tinh_trang_Dien_Nuoc_On dinh,Muc_do_xuong_cap_Binh thuong,Muc_do_xuong_cap_Nat/Can dap di,Muc_do_xuong_cap_Tot/Moi,Muc_do_xuong_cap_Xuong cap nhe,Gia_ban_ty_log
48.41,100,13.2,2,2,3,14.2,7,1,1,1,0,0,1.13,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,0.7561219797213337
21.22,72,7.5,2,4,5,2.2,28,0,0,1,0,0,5.43,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,1.860974538249528
33.36,180,10.5,2,2,1,12.1,8,1,1,1,0,0,3.55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,1.515127232962859
11.58,71,3.2,2,4,4,12.9,16,1,0,1,0,0,11.42,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,2.5193080765053324
0.0,20,10.2,6,2,1,6.5,28,1,0,1,0,0,6.18,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,1.9712993830601326
58.98,93,9.0,1,1,1,13.2,13,1,1,0,0,1,1.85,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,1.0473189942805592
9.5,63,9.5,2,4,2,13.1,0,1,1,1,0,0,16.21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,2.845490610223448
13.32,42,7.5,3,4,1,11.3,20,1,0,1,0,0,6.2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,1.9740810260220096
47.39,134,13.1,3,4,5,11.5,19,1,1,1,0,0,2.63,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,1.2892326482767593
4.81,67,3.6,3,5,6,4.5,3,1,0,1,0,0,17.12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,2.8970163006148333
5.08,60,9.4,4,4,3,4.6,11,1,1,1,0,0,20.96,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,3.08922261664133
23.69,119,5.4,1,1,2,14.3,18,1,1,0,0,0,3.85,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,1.5789787049493917
36.7,106,13.1,1,1,2,6.8,12,1,1,0,1,0,3.07,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,1.4036429994545034
35.45,47,13.4,2,3,2,11.7,24,1,0,1,0,0,1.84,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,1.0438040521731147
16.58,30,11.4,2,2,1,5.9,3,1,0,1,0,1,3.23,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,1.4422019930581866
12.34,47,8.6,3,2,3,10.0,20,1,0,1,0,0,2.79,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,1.332366019094335
10.06,41,3.9,1,2,3,4.8,7,1,0,0,0,0,8.68,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,2.2700619012884857
3.38,87,11.7,8,10,10,9.9,17,1,1,1,0,0,19.77,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,3.0335096378880206
21.91,56,8.1,3,6,5,13.4,16,1,1,1,0,0,1.23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,0.8020015854720274
49.49,172,10.6,2,3,3,10.2,22,1,1,1,0,0,3.86,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,1.5810384379124023
0.06,70,11.2,2,2,2,5.8,9,1,1,1,1,0,28.470000000000006,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,3.3833727967496037
7.1,23,7.0,2,4,5,14.8,17,1,0,1,1,1,1.43,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,0.887891257352457
11.6,54,5.7,3,3,2,11.5,6,1,1,1,0,0,7.85,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,2.180417459019838
7.02,94,8.2,7,9,3,12.1,7,1,1,1,0,1,21.84,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,3.1285133847878095
32.98,138,9.6,1,2,2,14.5,20,1,1,0,0,0,5.17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,1.8196988379172963
15.82,65,10.6,2,4,1,13.9,22,1,1,1,0,0,4.33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,1.673351238177753
14.07,30,7.6,3,3,2,1.7,25,0,0,1,0,0,2.42,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,1.2296405510745136
8.29,84,10.9,6,9,1,9.1,6,1,1,1,0,0,19.55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,3.022860940942244
